iter	Passed	Remaining
595	110043	74593
596	110191	74383
597	110359	74188
598	110513	73982
599	110670	73780
600	110823	73575
601	110985	73375
602	111152	73179
603	111298	72970
604	111460	72771
605	111604	72561
606	111792	72379
607	111975	72194
608	112125	71988
609	112279	71784
610	112443	71588
611	112563	71363
612	112698	71149
613	112851	70946
614	113011	70747
615	113148	70534
616	113292	70325
617	113434	70116
618	113585	69912
619	113760	69724
620	113926	69529
621	114098	69339
622	114265	69146
623	114432	68952
624	114593	68755
625	114759	68562
626	114935	68374
627	115114	68188
628	115280	67995
629	115440	67798
630	115585	67593
631	115753	67400
632	115909	67201
633	116088	67016
634	116253	66822
635	116423	66632
636	116598	66444
637	116772	66256
638	116937	66063
639	117107	65872
640	117286	65687
641	117456	65497
642	117631	65310
643	117798	65118
644	117941	64913
645	118114	64725
646	118262	64523
647	118397	64314
648	118561	64121
649	118688	63909
650	118894	63738
651	119063	63549
652	119246	63367
653	119390	63163
654	119541	62964
655	119713	62776
656	119879	62585
657	120047	62395
658	120210	62203
659	120383	62015
660	120567	61834
661	120729	61641
662	120891	61448
663	121067	61262
664	121239	61075
665	121424	60894
666	121601	60709
667	121766	60518
668	121941	60332
669	122090	60134
670	122255	59943
671	122430	59757
672	122607	59572
673	122783	59387
674	122956	59201
675	123140	59019
676	123294	58824
677	123463	58635
678	123636	58449
679	123802	58259
680	123984	58078
681	124149	57887
682	124298	57690
683	124479	57508
684	124643	57318
685	124789	57119
686	124959	56932
687	125141	56750
688	125307	56560
689	125470	56370
690	125634	56181
691	125770	55978
692	125954	55798
693	126125	55611
694	126268	55412
695	126441	55227
696	126617	55043
697	126785	54855
698	126978	54678
699	127145	54490
700	127310	54302
701	127486	54118
702	127654	53930
703	127835	53749
704	128016	53567
705	128193	53383
706	128359	53195
707	128525	53007
708	128681	52815
709	128860	52633
710	129013	52439
711	129172	52249
712	129347	52065
713	129521	51881
714	129685	51692
715	129872	51513
716	130054	51332
717	130210	51141
718	130395	50961
719	130575	50779
720	130716	50582
721	130882	50395
722	131049	50208
723	131200	50015
724	131370	49830
725	131554	49650
726	131697	49454
727	131874	49271
728	132051	49088
729	132227	48906
730	132396	48720
731	132563	48534
732	132738	48350
733	132910	48166
734	133103	47989
735	133274	47805
736	133460	47625
737	133610	47433
738	133760	47241
739	133963	47068
740	134138	46885
741	134314	46702
742	134488	46519
743	134655	46332
744	134820	46146
745	135006	45967
746	135182	45784
747	135356	45601
748	135538	45420
749	135706	45235
750	135885	45053
751	136075	44875
752	136232	44687
753	136378	44494
754	136564	44315
755	136722	44127
756	136885	43940
757	137050	43755
758	137197	43563
759	137359	43376
760	137549	43199
761	137689	43005
762	137867	42823
763	138039	42640
764	138205	42455
765	138369	42269
766	138535	42084
767	138709	41901
768	138871	41715
769	139028	41528
770	139213	41348
771	139365	41159
772	139527	40973
773	139679	40785
774	139859	40604
775	140001	40412
776	140164	40227
777	140343	40046
778	140504	39860
779	140679	39678
780	140831	39490
781	140999	39306
782	141170	39123
783	141327	38937
784	141520	38760
785	141657	38568
786	141835	38387
787	142031	38211
788	142188	38025
789	142359	37842
790	142548	37664
791	142718	37481
792	142889	37299
793	143069	37118
794	143243	36936
795	143408	36752
796	143562	36566
797	143728	36382
798	143886	36196
799	144001	36000
800	144161	35815
801	144337	35634
802	144493	35448
803	144650	35262
804	144832	35083
805	144991	34898
806	145155	34715
807	145325	34532
808	145490	34349
809	145658	34166
810	145806	33979
811	145957	33793
812	146095	33603
813	146264	33421
814	146428	33238
815	146604	33057
816	146746	32869
817	146916	32688
818	147084	32505
819	147258	32325
820	147384	32133
821	147551	31951
822	147724	31770
823	147887	31587
824	148046	31403
825	148173	31213
826	148320	31027
827	148498	30847
828	148646	30661
829	148803	30477
830	148981	30298
831	149182	30123
832	149338	29939
833	149505	29757
834	149651	29571
835	149817	29390
836	149974	29206
837	150138	29024
838	150312	28844
839	150426	28652
840	150599	28472
841	150749	28287
842	150924	28108
843	151069	27922
844	151225	27739
845	151377	27555
846	151572	27379
847	151712	27193
848	151875	27011
849	152029	26828
850	152213	26650
851	152361	26466
852	152538	26287
853	152688	26103
854	152831	25918
855	152980	25735
856	153158	25556
857	153316	25374
858	153477	25192
859	153643	25011
860	153813	24831
861	153995	24653
862	154160	24472
863	154323	24291
864	154498	24112
865	154680	23934
866	154855	23755
867	155018	23574
868	155164	23390
869	155346	23212
870	155526	23034
871	155695	22854
872	155867	22674
873	156028	22493
874	156201	22314
875	156331	22129
876	156524	21952
877	156691	21772
878	156869	21594
879	157070	21418
880	157219	21236
881	157409	21059
882	157570	20878
883	157746	20699
884	157908	20519
885	158078	20339
886	158253	20160
887	158420	19980
888	158584	19800
889	158748	19620
890	158902	19439
891	159070	19259
892	159226	19078
893	159369	18896
894	159520	18714
895	159720	18538
896	159906	18361
897	160095	18184
898	160287	18007
899	160475	17830
900	160664	17653
901	160845	17475
902	160998	17294
903	161155	17113
904	161328	16935
905	161495	16755
906	161645	16574
907	161812	16395
908	161982	16216
909	162150	16036
910	162298	15855
911	162445	15674
912	162594	15493
913	162722	15310
914	162889	15131
915	163055	14952
916	163202	14771
917	163381	14593
918	163558	14415
919	163711	14235
920	163897	14058
921	164080	13881
922	164268	13703
923	164503	13530
924	164673	13351
925	164847	13173
926	165007	12994
927	165178	12815
928	165334	12635
929	165489	12456
930	165655	12277
931	165825	12098
932	165997	11920
933	166169	11742
934	166351	11564
935	166520	11386
936	166692	11207
937	166853	11028
938	167017	10849
939	167180	10671
940	167366	10493
941	167545	10315
942	167711	10137
943	167867	9958
944	168039	9780
945	168220	9602
946	168394	9424
947	168573	9246
948	168722	9067
949	168907	8889
950	169093	8712
951	169276	8534
952	169440	8356
953	169617	8178
954	169802	8001
955	169973	7823
956	170144	7644
957	170315	7466
958	170495	7289
959	170652	7110
960	170816	6932
961	170998	6754
962	171158	6576
963	171330	6398
964	171519	6220
965	171687	6042
966	171862	5865
967	172037	5687
968	172184	5508
969	172345	5330
970	172493	5151
971	172642	4973
972	172827	4795
973	172994	4617
974	173164	4440
975	173325	4262
976	173459	4083
977	173620	3905
978	173799	3728
979	173949	3549
980	174116	3372
981	174291	3194
982	174462	3017
983	174633	2839
984	174796	2661
985	174978	2484
986	175146	2306
987	175283	2128
988	175429	1951
989	175591	1773
990	175766	1596
991	175922	1418
992	176090	1241
993	176255	1063
994	176434	886
995	176602	709
996	176756	531
997	176901	354
998	177068	177
999	177224	0
